Handle,Command,Image Src,Image Command
mens-piping-straight-leg-sweatpants,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-sweatpants-life.png?v=1785382714,DELETE
mens-piping-straight-leg-sweatpants,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-sweatpants-back.png?v=1785382713,DELETE
mens-piping-straight-leg-sweatpants,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-sweatpants-detail.png?v=1785382713,DELETE
mens-piping-straight-leg-sweatpants,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-sweatpants-candid.png?v=1785382714,DELETE
mens-raglan-sleeve-performance-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b7-m-raglan-front.png?v=1785433998,DELETE
mens-raglan-sleeve-performance-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b7-m-raglan-back.png?v=1785433998,DELETE
mens-raglan-sleeve-performance-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b7-m-raglan-detail.png?v=1785433998,DELETE
mens-regular-fit-performance-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_023608_18294aab-813b-4532-8b47-a12db3fb71c7.png?v=1785382626,DELETE
mens-regular-fit-performance-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_023614_3f875fc7-3d7e-4b64-b518-03535653472e.png?v=1785382626,DELETE
mens-regular-fit-performance-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_023610_4a442717-1e8b-4b17-ba53-5ff7109f3915.png?v=1785382626,DELETE
mens-regular-fit-performance-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_023612_80fa212b-9a83-4654-a478-c2b9fc10cf15.png?v=1785382626,DELETE
mens-regular-fit-performance-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_023616_445d092d-af95-4f29-8b61-1c46b72076d3.png?v=1785382626,DELETE
soft-hooded-sports-jacket,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_154632_bf599b31-a431-48df-b92c-1e760dcf7f2c.png?v=1785599281,DELETE
two-tone-raglan-sleeve-varsity-jacket,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b4-varsity-2tone-onmodel.png?v=1785434093,DELETE
two-tone-fleeced-varsity-jacket,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141242_8917d3da-470f-4b9f-906d-720b73b41493.png?v=1785593646,DELETE
two-tone-fleeced-varsity-jacket,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b4-varsity-fleece-onmodel.png?v=1785434093,DELETE
unisex-color-block-jacquard-soccer-jersey,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b4-jacquard-jersey-onmodel.png?v=1785434123,DELETE
unisex-color-block-polo-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141234_aef4d6d2-252d-4fcf-a087-698adb7cb795.png?v=1785593638,DELETE
unisex-color-block-polo-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b4-polo-onmodel.png?v=1785434122,DELETE
unisex-mesh-basketball-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141231_89e7c3ed-8825-404b-aebd-3d367f20f43f.png?v=1785593636,DELETE
unisex-panel-mesh-sleeveless-hoodie,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141229_2de80133-155d-4c1e-8a01-1d7ea5434f2e.png?v=1785593636,DELETE
unisex-raglan-sleeve-mesh-boxy-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b4-mesh-boxy-onmodel.png?v=1785434122,DELETE
cropped-half-zip-hoodie,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_154644_c56ec524-7839-4e2a-ad7a-9bfd104e69e0.png?v=1785599290,DELETE
women-s-high-waisted-ankle-leggings,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b4-w-hw-leggings-onmodel.png?v=1785434123,DELETE
women-s-cropped-sports-bra-1,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_184220_dca4900a-86d0-4fd3-977e-71dc42555437.png?v=1785437083,DELETE
women-s-cropped-sports-bra-1,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_184226_32a1055e-2a9e-4e47-86b1-915c48228b5e.png?v=1785437083,DELETE
women-s-cropped-sports-bra-1,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_184222_7d9c2077-c7b9-43f7-9577-4b2b5e845222.png?v=1785437083,DELETE
women-s-cropped-sports-bra-1,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_184224_29fe3d03-119c-4189-b1d9-8c4704ee9db1.png?v=1785437083,DELETE
women-s-cropped-sports-bra-1,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_184228_385c7703-df8b-4111-8c87-fe682f89532a.png?v=1785437083,DELETE
women-s-high-waisted-flare-leggings,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b4-w-flare-leggings-onmodel.png?v=1785434123,DELETE
women-s-pleated-a-line-tennis-skirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-skirt-studio.png?v=1785429585,DELETE
women-s-pleated-a-line-tennis-skirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-skirt-life_e861431c-bba6-4f2b-89d2-2d28e82a0347.png?v=1785429585,DELETE
women-s-pleated-a-line-tennis-skirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-skirt-back.png?v=1785429585,DELETE
women-s-pleated-a-line-tennis-skirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-skirt-detail.png?v=1785429585,DELETE
women-s-pleated-a-line-tennis-skirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-skirt-candid.png?v=1785429585,DELETE
women-s-raglan-training-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b13-w-raglan-front.png?v=1785433999,DELETE
women-s-raglan-training-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b13-w-raglan-back.png?v=1785433999,DELETE
women-s-raglan-training-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b13-w-raglan-detail.png?v=1785434000,DELETE
women-s-slim-fit-full-zip-yoga-jacket,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_154649_b554dca4-9af7-4bf3-bec0-97e1c0c8107c.png?v=1785599290,DELETE
women-s-high-rise-color-block-yoga-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b6-w-cb-shorts-onmodel.png?v=1785434151,DELETE
women-s-twist-front-v-neck-sports-bra,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-twistbra-studio.png?v=1785382714,DELETE
women-s-twist-front-v-neck-sports-bra,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-twistbra-life.png?v=1785382714,DELETE
women-s-twist-front-v-neck-sports-bra,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-twistbra-back.png?v=1785382714,DELETE
women-s-twist-front-v-neck-sports-bra,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-twistbra-detail.png?v=1785382714,DELETE
women-s-twist-front-v-neck-sports-bra,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-twistbra-candid.png?v=1785382714,DELETE
